,month,day,year,city,state,nwound,nkill,naff,suicide,killed_by_police,source_quoted,shots_fired_at_schoolgrounds,shots_fired_at_bar_nightclub_stripclub,shots_fired_at_home,gender,location,lon,lat,date,Time
149,1,7,2010,New Orleans,LA,1,3,4,0,0,1,0,0,1,NA,"New Orleans, LA",-90.0715323,29.9510658,1/7/2010,1832
150,1,1,2010,Butler,MO,1,2,3,1,0,1,0,0,1,1,"Butler, MO",-94.3305059,38.2586347,1/1/2010,1826
151,12,24,2009,New Orleans,LA,NA,NA,6,0,0,1,0,0,0,NA,"New Orleans, LA",-90.0715323,29.9510658,12/24/2009,1818
152,12,17,2009,New York,NY,1,3,4,0,0,1,0,0,1,1,"New York, NY",-74.0059728,40.7127753,12/17/2009,1811
153,12,14,2009,San Clemente,CA,0,4,4,1,0,1,0,0,1,0,"San Clemente, CA",-117.6126004,33.4273521,12/14/2009,1808
154,12,14,2009,Mattawa,WA,NA,NA,4,0,0,1,0,0,0,1,"Mattawa, WA",-119.9028234,46.73791,12/14/2009,1808
155,12,13,2009,Grand Junction,CO,NA,NA,5,0,0,1,0,0,1,1,"Grand Junction, CO",-108.5506486,39.0638705,12/13/2009,1807
156,12,7,2009,West Palm Beach,FL,3,1,4,0,0,1,0,0,1,NA,"West Palm Beach, FL",-80.0533746,26.7153424,12/7/2009,1801
157,11,29,2009,Lakewood,WA,0,4,4,0,1,1,0,0,0,1,"Lakewood, WA",-122.518458,47.1717649,11/29/2009,1793
158,11,28,2009,Osage County,KS,0,4,4,0,0,1,0,0,1,1,"Osage County, KS",-95.6457951,38.6009003,11/28/2009,1792
159,11,28,2009,Madison,WI,NA,NA,4,0,0,1,0,0,1,NA,"Madison, WI",-89.4012302,43.0730517,11/28/2009,1792
160,11,28,2009,Paterson,NJ,2,1,3,0,1,1,0,0,0,1,"Paterson, NJ",-74.171811,40.9167654,11/28/2009,1792
161,11,28,2009,Brockton,MA,3,1,4,0,0,1,0,0,0,NA,"Brockton, MA",-71.0183787,42.0834335,11/28/2009,1792
162,11,28,2009,Fresno,CA,12,0,12,0,0,1,0,0,1,NA,"Fresno, CA",-119.7871247,36.7377981,11/28/2009,1792
163,11,26,2009,Jupiter,FL,3,4,7,0,0,1,0,0,1,1,"Jupiter, FL",-80.0942087,26.9342246,11/26/2009,1790
164,11,15,2009,Valdosta,GA,9,1,10,0,0,1,0,0,1,NA,"Valdosta, GA",-83.2784851,30.8327022,11/15/2009,1779
165,11,15,2009,Flint,MI,1,3,4,0,0,1,0,0,0,NA,"Flint, MI",-83.6874562,43.0125274,11/15/2009,1779
166,11,12,2009,Pearcy,AR,0,5,5,0,1,1,0,0,1,1,"Pearcy, AR",-93.2906234,34.4286411,11/12/2009,1776
167,11,11,2009,Montgomery,AL,5,1,6,0,0,1,0,0,0,NA,"Montgomery, AL",-86.3077368,32.3792233,11/11/2009,1775
168,11,10,2009,Tualatin,OR,2,1,3,1,0,1,0,0,0,1,"Tualatin, OR",-122.7821817,45.3779988,11/10/2009,1774
169,11,9,2009,Oklahoma City,OK,0,4,4,0,0,1,0,0,1,1,"Oklahoma City, OK",-97.5164276,35.4675602,11/9/2009,1773
170,11,9,2009,Walterboro,SC,5,3,8,0,0,1,0,0,1,NA,"Walterboro, SC",-80.6667688,32.9051704,11/9/2009,1773
171,11,8,2009,Reading,PA,NA,NA,7,0,0,1,0,1,0,NA,"Reading, PA",-75.9268747,40.3356483,11/8/2009,1772
172,11,8,2009,Chicago,IL,NA,NA,4,0,0,1,0,0,0,NA,"Chicago, IL",-87.6297982,41.8781136,11/8/2009,1772
173,11,7,2009,Vail,CO,3,1,4,0,0,1,0,1,0,1,"Vail, CO",-106.3741955,39.6402638,11/7/2009,1771
174,11,7,2009,Cleveland,TX,0,3,3,1,0,1,0,0,1,1,"Cleveland, TX",-95.0854885,30.34132,11/7/2009,1771
175,11,6,2009,Orlando,FL,NA,NA,6,0,0,1,0,0,0,1,"Orlando, FL",-81.3792365,28.5383355,11/6/2009,1770
176,11,5,2009,Fort Hood,TX,30,13,43,0,1,1,0,0,0,1,"Fort Hood, TX",-97.7797049,31.1363315,11/5/2009,1769
177,11,4,2009,Denver,CO,6,1,7,0,0,1,0,1,0,1,"Denver, CO",-104.990251,39.7392358,11/4/2009,1768
178,11,1,2009,Mount Airy,NC,0,4,4,0,0,1,0,0,0,1,"Mount Airy, NC",-80.6072858,36.4993007,11/1/2009,1765
179,11,1,2009,Sumter,SC,4,0,4,0,0,1,0,1,0,NA,"Sumter, SC",-80.3414693,33.9204354,11/1/2009,1765
180,10,14,2009,Salinas,CA,4,0,4,0,0,1,0,0,0,1,"Salinas, CA",-121.6555013,36.6777372,10/14/2009,1747
181,10,13,2009,Washington,DC,3,2,5,0,0,1,0,0,1,NA,"Washington, DC",-77.0368707,38.9071923,10/13/2009,1746
182,10,13,2009,Aliamanu,HI,5,0,5,0,0,1,0,0,0,1,"Aliamanu, HI",-157.9180445,21.3614956,10/13/2009,1746
183,10,9,2009,Bridgeport,AL,NA,NA,4,0,0,1,0,1,0,1,"Bridgeport, AL",-85.7144155,34.9475807,10/9/2009,1742
184,10,4,2009,Charlotte,NC,7,0,7,0,0,1,0,1,0,1,"Charlotte, NC",-80.8431267,35.2270869,10/4/2009,1737
185,10,1,2009,Sumter,SC,5,0,5,0,0,1,0,0,1,NA,"Sumter, SC",-80.3414693,33.9204354,10/1/2009,1734
186,9,30,2009,St.Louis,MO,3,1,4,0,0,1,0,0,1,NA,"St.Louis, MO",-90.1994042,38.6270025,9/30/2009,1733
